date,product,category,region,sales,quantity,profit
2024-01-05,Laptop,Electronics,North,1200.00,2,240.00
2024-01-07,Headphones,Electronics,South,85.00,5,17.00
2024-01-10,Desk Chair,Furniture,East,320.00,1,64.00
2024-01-12,Coffee Maker,Appliances,West,75.00,3,22.50
2024-01-15,Monitor,Electronics,North,450.00,2,90.00
2024-01-18,Bookshelf,Furniture,South,180.00,2,54.00
2024-01-20,Keyboard,Electronics,East,60.00,8,18.00
2024-01-22,Blender,Appliances,West,55.00,4,16.50
2024-01-25,Mouse,Electronics,North,25.00,12,7.50
2024-01-28,Standing Desk,Furniture,South,600.00,1,120.00
2024-02-02,Laptop,Electronics,East,1200.00,3,360.00
2024-02-05,Air Purifier,Appliances,West,250.00,2,75.00
2024-02-08,Webcam,Electronics,North,90.00,6,27.00
2024-02-10,Filing Cabinet,Furniture,South,140.00,2,42.00
2024-02-14,Smart Speaker,Electronics,East,120.00,4,36.00
2024-02-17,Toaster,Appliances,West,35.00,7,10.50
2024-02-20,USB Hub,Electronics,North,30.00,15,9.00
2024-02-22,Office Lamp,Furniture,South,65.00,5,19.50
2024-02-25,Headphones,Electronics,East,85.00,8,20.40
2024-02-28,Microwave,Appliances,West,180.00,2,54.00
2024-03-03,Monitor,Electronics,North,450.00,3,135.00
2024-03-06,Desk Chair,Furniture,South,320.00,4,128.00
2024-03-09,Coffee Maker,Appliances,East,75.00,5,37.50
2024-03-12,Laptop,Electronics,West,1350.00,2,270.00
2024-03-15,Keyboard,Electronics,North,60.00,10,18.00
2024-03-18,Bookshelf,Furniture,South,180.00,3,81.00
2024-03-21,Smart Speaker,Electronics,East,120.00,6,43.20
2024-03-24,Air Purifier,Appliances,West,250.00,1,37.50
2024-03-27,Mouse,Electronics,North,25.00,20,7.50
2024-03-30,Standing Desk,Furniture,South,600.00,2,240.00
2024-04-02,Webcam,Electronics,East,90.00,7,31.50
2024-04-05,Blender,Appliances,West,55.00,6,24.75
2024-04-08,USB Hub,Electronics,North,30.00,18,9.00
2024-04-11,Filing Cabinet,Furniture,South,140.00,3,63.00
2024-04-14,Monitor,Electronics,East,450.00,4,180.00
2024-04-17,Toaster,Appliances,West,35.00,9,13.65
2024-04-20,Laptop,Electronics,North,1200.00,1,120.00
2024-04-23,Office Lamp,Furniture,South,65.00,8,31.20
2024-04-26,Headphones,Electronics,East,85.00,10,25.50
2024-04-29,Microwave,Appliances,West,180.00,3,81.00
